Timestamp, employed,work_status,credit,hours
4/9/2025 10:54,Yes,Part-time,6,6
4/9/2025 10:55,Yes,Part-time,12,0
4/9/2025 10:55,Yes,Part-time,17,1
4/9/2025 10:55,Yes,Full-time,6,2
4/9/2025 10:55,Yes,Part-time,16,2
4/9/2025 10:56,No,not working,15,2
4/9/2025 10:59,Yes,Full-time,12,6
4/9/2025 11:02,Yes,Part-time,4,1
4/9/2025 11:09,Yes,Part-time,18,20
4/9/2025 12:02,No,Full-time,12,10
4/9/2025 12:04,No,not working,14,15
4/9/2025 12:43,No,not working,12,15
4/9/2025 12:44,No,not working,12,20
4/9/2025 12:59,Yes,Part-time,15,5
4/9/2025 13:17,Yes,Part-time,12,8
4/9/2025 13:35,Yes,Full-time,17.5,7
4/9/2025 13:54,Yes,Part-time,16,6
4/9/2025 14:04,Yes,Part-time,14,20
4/9/2025 14:06,Yes,Full-time,16,14
4/9/2025 14:06,No,not working,10,5
4/9/2025 14:07,Yes,Part-time,18,15
4/9/2025 14:08,No,not working,14,2
4/9/2025 14:08,No,not working,19,18
4/9/2025 14:13,Yes,Part-time,17,20
4/9/2025 16:13,Yes,Full-time,15,20
4/9/2025 16:54,Yes,Full-time,12,2
4/9/2025 16:59,Yes,Part-time,11,2
4/9/2025 18:19,Yes,Part-time,18,20
4/9/2025 18:19,No,not working,20,20
4/9/2025 18:34,No,not working,14,10
4/9/2025 18:44,No,not working,12,5
4/9/2025 18:46,No,not working,12,5
4/9/2025 19:20,No,not working,15,5
4/9/2025 19:38,No,not working,11,5
4/9/2025 21:03,Yes,Full-time,12,14
4/9/2025 21:03,No,not working,17,20
4/9/2025 21:03,Yes,Full-time,12,14
4/9/2025 21:56,No,not working,17,10
4/10/2025 7:08,No,not working,15,14
4/10/2025 7:32,Yes,Full-time,12,20
4/10/2025 10:57,No,not working,19,20
4/10/2025 10:59,Yes,Full-time,6,5
4/10/2025 11:00,Yes,Part-time,9,5
4/10/2025 11:00,Yes,Part-time,12,8
4/10/2025 13:02,Yes,Part-time,0,0
4/10/2025 13:29,Yes,Part-time,15,8
4/10/2025 18:59,Yes,Full-time,0,0
4/10/2025 19:01,Yes,Full-time,0,12
4/10/2025 19:37,Yes,Part-time,4,3
4/10/2025 19:37,Yes,not working,6,2
4/10/2025 19:37,Yes,Part-time,12,10
4/10/2025 20:02,Yes,Part-time,0,0
4/10/2025 21:26,No,not working,16,5
4/10/2025 22:01,Yes,Part-time,12,10
4/10/2025 22:25,No,not working,15,14
4/11/2025 9:36,No,Part-time,17,7
4/11/2025 9:52,Yes,not working,12,20
4/11/2025 9:52,Yes,Part-time,12,18
4/11/2025 9:53,Yes,not working,12,16
4/11/2025 9:54,Yes,not working,12,16
